id,role,intent,variant_type,index,text,version,voice,source,file_path,notes
principal_001,principal,overview,standard,001,打开学校今日运行数据大屏。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_001.wav,reference=record_out.wav; language=zh-cn
principal_002,principal,overview,standard,002,切换到校长驾驶舱首页。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_002.wav,reference=record_out.wav; language=zh-cn
principal_003,principal,overview,colloquial,003,帮我打开学校运行总览。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_003.wav,reference=record_out.wav; language=zh-cn
principal_004,principal,overview,colloquial,004,我想看一下今天的学校整体情况。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_004.wav,reference=record_out.wav; language=zh-cn
principal_005,principal,overview,entity,005,打开校长驾驶舱里的学校运行总览页。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_005.wav,reference=record_out.wav; language=zh-cn
principal_006,principal,overview,short,006,看学校总览。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_006.wav,reference=record_out.wav; language=zh-cn
principal_007,principal,attendance,standard,007,查看今天全校学生到校情况。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_007.wav,reference=record_out.wav; language=zh-cn
principal_008,principal,attendance,standard,008,查询本周各年级学生出勤率。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_008.wav,reference=record_out.wav; language=zh-cn
principal_009,principal,attendance,colloquial,009,帮我看一下今天全校到校情况。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_009.wav,reference=record_out.wav; language=zh-cn
principal_010,principal,attendance,colloquial,010,我想查一下这周各年级的出勤率。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_010.wav,reference=record_out.wav; language=zh-cn
principal_011,principal,attendance,entity,011,查一下七年级和八年级今天的到校情况。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_011.wav,reference=record_out.wav; language=zh-cn
principal_012,principal,attendance,short,012,看今天到校。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_012.wav,reference=record_out.wav; language=zh-cn
principal_013,principal,teacher_attendance,standard,013,查看本月教师考勤异常统计。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_013.wav,reference=record_out.wav; language=zh-cn
principal_014,principal,teacher_attendance,standard,014,查询本月教师授课课时统计。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_014.wav,reference=record_out.wav; language=zh-cn
principal_015,principal,teacher_attendance,colloquial,015,帮我看一下这个月教师考勤异常。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_015.wav,reference=record_out.wav; language=zh-cn
principal_016,principal,teacher_attendance,colloquial,016,我想查查本学期教师的授课课时。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_016.wav,reference=record_out.wav; language=zh-cn
principal_017,principal,teacher_attendance,entity,017,看一下语文组和数学组教师本月考勤异常统计。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_017.wav,reference=record_out.wav; language=zh-cn
principal_018,principal,teacher_attendance,short,018,查教师考勤异常。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_018.wav,reference=record_out.wav; language=zh-cn
principal_019,principal,performance,standard,019,打开学校教学质量分析报表。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_019.wav,reference=record_out.wav; language=zh-cn
principal_020,principal,performance,standard,020,查看各年级最近一次考试平均分。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_020.wav,reference=record_out.wav; language=zh-cn
principal_021,principal,performance,colloquial,021,帮我打开教学质量分析。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_021.wav,reference=record_out.wav; language=zh-cn
principal_022,principal,performance,colloquial,022,我想看一下最近一次考试的年级平均分。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_022.wav,reference=record_out.wav; language=zh-cn
principal_023,principal,performance,entity,023,把七年级和八年级最近一次考试平均分对比一下。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_023.wav,reference=record_out.wav; language=zh-cn
principal_024,principal,performance,short,024,看成绩分析。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_024.wav,reference=record_out.wav; language=zh-cn
principal_025,principal,security,standard,025,查看学校本月安全巡检情况。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_025.wav,reference=record_out.wav; language=zh-cn
principal_026,principal,security,standard,026,查看本周学生违纪情况汇总。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_026.wav,reference=record_out.wav; language=zh-cn
principal_027,principal,security,colloquial,027,帮我看一下这个月学校安全巡检情况。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_027.wav,reference=record_out.wav; language=zh-cn
principal_028,principal,security,colloquial,028,我想查一下这周学生违纪汇总。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_028.wav,reference=record_out.wav; language=zh-cn
principal_029,principal,security,entity,029,教学楼A栋这周的安全巡检情况怎么样。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_029.wav,reference=record_out.wav; language=zh-cn
principal_030,principal,security,short,030,看安全巡检。,myvoice,record_out,coqui-xtts-v2,audio/myvoice/principal/principal_030.wav,reference=record_out.wav; language=zh-cn
