id,role,version,category,file_path,expected,actual,exact_match,norm_exact_match,char_distance,expected_chars,cer,audio_ms,first_partial_ms,final_latency_ms
principal_001,principal,standard,standard/principal,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/principal/principal_001.wav,打开学校今日运行数据大屏。,打开学校今日运行数据大屏。,True,True,0,12,0.0,2838.4,110.0,956.7
principal_002,principal,standard,standard/principal,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/principal/principal_002.wav,查看今天全校学生到校情况。,查看今天全校学生到校情况。,True,True,0,12,0.0,3166.6,114.5,1107.9
principal_003,principal,standard,standard/principal,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/principal/principal_003.wav,查询本周各年级学生出勤率。,查询本周各年级学生出勤率。,True,True,0,12,0.0,2678.9,104.1,848.4
principal_004,principal,standard,standard/principal,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/principal/principal_004.wav,查看本月教师考勤异常统计。,查看本月教师考勤异常统计。,True,True,0,12,0.0,2795.0,117.4,888.9
principal_005,principal,standard,standard/principal,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/principal/principal_005.wav,打开学校教学质量分析报表。,打开学校教学质量分析报表。,True,True,0,12,0.0,2884.8,111.4,916.6
principal_006,principal,standard,standard/principal,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/principal/principal_006.wav,查看各年级最近一次考试平均分。,查看各年级最近一次考试平均分。,True,True,0,14,0.0,3224.6,107.4,999.0
principal_007,principal,standard,standard/principal,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/principal/principal_007.wav,对比本学期各年级成绩变化趋势。,对比本学期各年级成绩变化趋势。,True,True,0,14,0.0,3210.0,102.7,983.8
principal_008,principal,standard,standard/principal,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/principal/principal_008.wav,查看学校本月安全巡检情况。,查看学校本月安全巡检情况。,True,True,0,12,0.0,3015.6,104.0,932.9
principal_009,principal,standard,standard/principal,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/principal/principal_009.wav,查询今天校园设备运行状态。,查询今天校园设备运行状态。,True,True,0,12,0.0,2980.8,99.1,930.7
principal_010,principal,standard,standard/principal,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/principal/principal_010.wav,查看本周学生违纪情况汇总。,查看本周学生违纪情况，汇总。,False,True,0,12,0.0,2841.4,105.3,898.7
principal_011,principal,standard,standard/principal,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/principal/principal_011.wav,打开德育管理统计大屏。,打开德育管理统计大屏。,True,True,0,10,0.0,2188.2,98.1,700.3
principal_012,principal,standard,standard/principal,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/principal/principal_012.wav,查看各班级综合评价排名。,查看各班级综合评价排名。,True,True,0,11,0.0,2644.1,96.4,835.4
principal_013,principal,standard,standard/principal,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/principal/principal_013.wav,查询本月教师授课课时统计。,查询本月教师授课课时统计。,True,True,0,12,0.0,2841.4,110.5,892.7
principal_014,principal,standard,standard/principal,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/principal/principal_014.wav,查看各学科教学任务完成情况。,查看各学科教学任务完成情况。,True,True,0,13,0.0,3120.1,105.5,967.4
principal_015,principal,standard,standard/principal,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/principal/principal_015.wav,打开学校招生数据分析页面。,打开学校招生数据分析页面。,True,True,0,12,0.0,2780.3,101.8,886.1
principal_016,principal,standard,standard/principal,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/principal/principal_016.wav,查看本月家校沟通情况统计。,查看本月家校沟通情况统计。,True,True,0,12,0.0,2841.4,107.3,910.5
principal_017,principal,standard,standard/principal,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/principal/principal_017.wav,查询本学期学生流失预警名单。,查询本学期学生流失预警名单。,True,True,0,13,0.0,3143.3,105.2,935.4
principal_018,principal,standard,standard/principal,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/principal/principal_018.wav,查看学校食堂今日用餐统计。,查看学校食堂今日用餐统计。,True,True,0,12,0.0,2887.9,121.1,929.3
principal_019,principal,standard,standard/principal,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/principal/principal_019.wav,生成本周学校运行情况简报。,生成本周，学校运行情况简报。,False,True,0,12,0.0,2962.7,97.1,879.9
principal_020,principal,standard,standard/principal,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/principal/principal_020.wav,切换到校长驾驶舱首页。,切换到校长驾驶舱首页。,True,True,0,10,0.0,2455.6,95.6,789.7
director_001,director,standard,standard/director,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/director/director_001.wav,打开年级管理工作台。,打开年级管理工作台。,True,True,0,9,0.0,2060.5,108.5,649.1
director_002,director,standard,standard/director,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/director/director_002.wav,查看今天本年级学生出勤情况。,查看今天本年及学生出勤情况。,False,False,1,13,0.0769,3201.4,105.5,921.5
director_003,director,standard,standard/director,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/director/director_003.wav,查询本周各班级迟到人数。,查询本周各班级迟到人数。,True,True,0,11,0.0,2504.8,97.2,767.0
director_004,director,standard,standard/director,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/director/director_004.wav,查看今天请假的学生名单。,查看今天请假的学生名单。,True,True,0,11,0.0,2678.9,107.9,803.4
director_005,director,standard,standard/director,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/director/director_005.wav,打开本年级考试成绩分析。,打开本年级考试成绩分析。,True,True,0,11,0.0,2548.1,133.7,808.4
director_006,director,standard,standard/director,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/director/director_006.wav,对比各班级语文平均分。,对比各班级语文平均分。,True,True,0,10,0.0,2223.1,101.5,913.9
director_007,director,standard,standard/director,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/director/director_007.wav,查看本年级数学成绩排名。,查看本年及数学成绩排名。,False,False,1,11,0.0909,2644.1,108.8,838.1
director_008,director,standard,standard/director,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/director/director_008.wav,查询本周班主任工作完成情况。,查询本周班主任工作完成情况。,True,True,0,13,0.0,3062.1,101.9,993.6
director_009,director,standard,standard/director,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/director/director_009.wav,查看各班级纪律扣分统计。,查看各班级纪律扣分统计。,True,True,0,11,0.0,2481.6,104.7,766.1
director_010,director,standard,standard/director,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/director/director_010.wav,打开学生违纪处理记录。,打开学生违纪处理记录。,True,True,0,10,0.0,2141.8,98.5,644.8
director_011,director,standard,standard/director,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/director/director_011.wav,查询本周卫生检查排名。,查询本周卫生检查排名。,True,True,0,10,0.0,2481.6,99.5,769.7
director_012,director,standard,standard/director,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/director/director_012.wav,查看今天值班教师安排。,查看今天值班教师安排。,True,True,0,10,0.0,2423.5,138.4,850.0
director_013,director,standard,standard/director,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/director/director_013.wav,打开课程调课审批列表。,打开课程调课审批列表。,True,True,0,10,0.0,2397.2,107.6,790.3
director_014,director,standard,standard/director,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/director/director_014.wav,查询本周教师代课情况。,查询本周教师代课情况。,True,True,0,10,0.0,2458.3,115.5,803.6
director_015,director,standard,standard/director,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/director/director_015.wav,查看未完成备课检查的教师名单。,查看未完成备课检查的教师名单。,True,True,0,14,0.0,3282.6,109.4,1000.1
director_016,director,standard,standard/director,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/director/director_016.wav,打开本年级学生预警名单。,打开本年级学生预警名单。,True,True,0,11,0.0,2490.1,110.2,809.1
director_017,director,standard,standard/director,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/director/director_017.wav,查询需要重点关注的学生。,查询需要重点关注的学生。,True,True,0,11,0.0,2481.6,103.7,846.5
director_018,director,standard,standard/director,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/director/director_018.wav,查看本月家长反馈处理情况。,查看本月家长反馈处理情况。,True,True,0,12,0.0,2876.3,114.9,956.0
director_019,director,standard,standard/director,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/director/director_019.wav,生成本年级周工作简报。,生成本年吉州工作简报。,False,False,2,10,0.2,2370.6,109.5,901.1
director_020,director,standard,standard/director,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/director/director_020.wav,返回主任工作台首页。,返回主任工作台首页。,True,True,0,9,0.0,2082.6,103.5,660.5
teacher_001,teacher,standard,standard/teacher,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/teacher/teacher_001.wav,打开我的教学工作台。,打开我的教学工作台。,True,True,0,9,0.0,2014.1,107.0,658.0
teacher_002,teacher,standard,standard/teacher,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/teacher/teacher_002.wav,查看今天我的课程安排。,查看今天我的课程安排。,True,True,0,10,0.0,2342.2,115.6,792.9
teacher_003,teacher,standard,standard/teacher,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/teacher/teacher_003.wav,查询下一节课的上课班级。,查询下一节课的上课班级。,True,True,0,11,0.0,2516.4,103.9,845.0
teacher_004,teacher,standard,standard/teacher,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/teacher/teacher_004.wav,打开七年级一班学生名单。,打开7年级一班学生名单。,False,False,1,11,0.0909,2501.7,109.5,810.9
teacher_005,teacher,standard,standard/teacher,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/teacher/teacher_005.wav,查看今天本班学生考勤情况。,查看今天本班学生考勤情况。,True,True,0,12,0.0,3050.4,102.7,977.0
teacher_006,teacher,standard,standard/teacher,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/teacher/teacher_006.wav,为今天第一节课发起点名。,为今天第一节课发起点名。,True,True,0,11,0.0,2500.6,108.8,831.0
teacher_007,teacher,standard,standard/teacher,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/teacher/teacher_007.wav,查询本周我的调课记录。,查询本周我的雕刻记录。,False,False,2,10,0.2,2179.7,111.0,772.4
teacher_008,teacher,standard,standard/teacher,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/teacher/teacher_008.wav,打开我的作业批改列表。,打开我的作业批改列表。,True,True,0,10,0.0,2072.1,106.9,669.5
teacher_009,teacher,standard,standard/teacher,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/teacher/teacher_009.wav,查看未提交作业的学生名单。,查看未提交作业的学生名单。,True,True,0,12,0.0,2725.4,101.8,848.4
teacher_010,teacher,standard,standard/teacher,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/teacher/teacher_010.wav,查询本次作业完成率。,查询本次作业完成率。,True,True,0,9,0.0,2086.8,103.1,686.8
teacher_011,teacher,standard,standard/teacher,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/teacher/teacher_011.wav,打开最近一次考试成绩分析。,打开最近一次考试成绩分析。,True,True,0,12,0.0,2699.1,111.0,864.6
teacher_012,teacher,standard,standard/teacher,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/teacher/teacher_012.wav,查看本班数学成绩分布。,查看本班数学成绩分布。,True,True,0,10,0.0,2307.4,114.8,797.3
teacher_013,teacher,standard,standard/teacher,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/teacher/teacher_013.wav,查询成绩下降明显的学生。,查询成绩下降明显的学生。,True,True,0,11,0.0,2644.1,108.9,906.9
teacher_014,teacher,standard,standard/teacher,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/teacher/teacher_014.wav,打开学生课堂表现记录。,打开学生课堂表现记录。,True,True,0,10,0.0,2327.6,114.3,915.4
teacher_015,teacher,standard,standard/teacher,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/teacher/teacher_015.wav,给张明添加课堂表扬记录。,给张明添加课堂表扬记录。,True,True,0,11,0.0,2461.1,112.3,844.8
teacher_016,teacher,standard,standard/teacher,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/teacher/teacher_016.wav,查看本周家校沟通记录。,查看本周驾校沟通记录。,False,False,1,10,0.1,2307.4,118.0,820.4
teacher_017,teacher,standard,standard/teacher,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/teacher/teacher_017.wav,打开我的备课任务。,打开我的备课任务。,True,True,0,8,0.0,1665.8,109.6,647.6
teacher_018,teacher,standard,standard/teacher,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/teacher/teacher_018.wav,查询本学期我的授课课时。,查询本学期我的授课课时。,True,True,0,11,0.0,2644.1,111.8,908.5
teacher_019,teacher,standard,standard/teacher,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/teacher/teacher_019.wav,生成本班学习情况简报。,生成本班学习情况简报。,True,True,0,10,0.0,2463.4,118.8,902.1
teacher_020,teacher,standard,standard/teacher,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/teacher/teacher_020.wav,返回教师工作台首页。,返回教师工作台首页。,True,True,0,9,0.0,2152.2,118.4,836.7
staff_001,staff,standard,standard/staff,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/staff/staff_001.wav,打开我的办公工作台。,打开我的办公工作台。,True,True,0,9,0.0,1944.4,116.2,716.7
staff_002,staff,standard,standard/staff,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/staff/staff_002.wav,查看今天我的待办事项。,查看今天我的待办事项。,True,True,0,10,0.0,2237.8,130.8,888.7
staff_003,staff,standard,standard/staff,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/staff/staff_003.wav,查询我提交的审批进度。,查询我提交的审批进度。,True,True,0,10,0.0,2156.5,119.8,947.5
staff_004,staff,standard,standard/staff,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/staff/staff_004.wav,打开请假申请页面。,打开请假申请页面。,True,True,0,8,0.0,2014.1,140.2,808.7
staff_005,staff,standard,standard/staff,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/staff/staff_005.wav,提交今天下午的请假申请。,提交今天下午的请假申请。,True,True,0,11,0.0,2581.6,125.9,1010.8
staff_006,staff,standard,standard/staff,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/staff/staff_006.wav,查看本月我的考勤记录。,查看本月我的考勤记录。,True,True,0,10,0.0,2133.2,128.6,853.4
staff_007,staff,standard,standard/staff,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/staff/staff_007.wav,查询本周我的值班安排。,查询本周我的值班安排。,True,True,0,10,0.0,2226.1,131.0,986.4
staff_008,staff,standard,standard/staff,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/staff/staff_008.wav,打开校园通知公告列表。,打开校园通知公告列表。,True,True,0,10,0.0,2257.9,130.1,1105.4
staff_009,staff,standard,standard/staff,/Users/lixiaofeng/Code/github/flowrium-voice/audio/standard/staff/staff_009.wav,查看最新一条学校通知。,查看最新一条学校通知。,True,True,0,10,0.0,2446.8,128.0,1027.6
